MaKH|HoTen|CCCD|SDT
KH001|Pham Thu Phong|0924660034125|0960776257
KH002|Do Quang Linh|0976901650564|0967651929
KH003|Dang Quang Dung|0809766120923|0907577619
KH004|Pham Ngoc Phong|0625009220508|0903167248
KH005|Do Hoai Binh|0119987330160|0979699453
KH006|Nguyen Ngoc Em|0405002300761|0942419910
KH007|Le Hoai Linh|0688067946269|0958353279
KH008|Vu Van Linh|0361518161090|0974606259
KH009|Le Thu Anh|0509473080330|0922876651
KH010|Hoang Tuan Kien|0748448192424|0990547782
KH011|Dang Ngoc Hai|0702012294085|0961921533
KH012|Vo Van Em|0794344781252|0984556336
KH013|Vu Thi Linh|0101314734589|0950504096
KH014|Hoang Van Dung|0725184385436|0963919435
KH015|Vu Thu Giang|0513689480993|0979504521
KH016|Vu Thu Kien|0982175297994|0918198396
KH017|Tran Xuan Em|0854339469599|0958920223
KH018|Tran Ngoc Dung|0813385082774|0950313510
KH019|Bui Quang Binh|0768379580267|0912796687
KH020|Tran Thi Linh|0790642578164|0945240004
