maGD|thoiGian|loaiGD|soTien|soTKGui|soTKNhan
GD001|10/12/2022 03:46|NAP|3075389|526997230|N/A
GD002|16/12/2021 13:38|RUT|1763591|341042880|N/A
GD003|17/05/2021 06:58|CHUYEN_KHOAN|857113|299603733|480034778
GD004|12/10/2025 02:09|RUT|1457192|371926798|N/A
GD005|02/10/2021 07:27|RUT|3744760|480034778|N/A
GD006|10/06/2021 11:00|RUT|3569821|463010441|N/A
GD007|08/05/2023 01:53|RUT|87414|299603733|N/A
GD008|06/04/2022 23:17|CHUYEN_KHOAN|4545867|273744485|585526790
GD009|24/01/2024 15:58|CHUYEN_KHOAN|176219|371926798|376479333
GD010|23/10/2021 13:30|NAP|4722557|542954793|N/A
GD011|12/11/2021 13:54|NAP|1004066|828054905|N/A
GD012|17/12/2023 22:48|RUT|3421751|986467148|N/A
GD013|03/03/2021 13:27|RUT|1753174|797825919|N/A
GD014|17/09/2025 12:34|NAP|2496753|933399355|N/A
GD015|22/02/2021 14:40|NAP|1527830|376479333|N/A
GD016|14/11/2020 14:49|NAP|1076795|986467148|N/A
GD017|18/01/2024 10:09|RUT|243133|699982559|N/A
GD018|08/01/2023 06:19|RUT|3818199|846824087|N/A
GD019|18/04/2021 12:39|RUT|2334949|585526790|N/A
GD020|12/06/2021 06:33|RUT|4399874|341042880|N/A
GD021|15/03/2022 21:43|RUT|4680347|508986577|N/A
GD022|03/02/2023 20:05|RUT|638543|463010441|N/A
GD023|24/12/2024 10:02|RUT|4993302|846824087|N/A
GD024|05/07/2024 21:39|NAP|3745679|159072787|N/A
GD025|27/11/2022 10:44|RUT|4690622|453394190|N/A
GD026|21/02/2022 16:45|RUT|3515392|526997230|N/A
GD027|03/04/2023 07:00|NAP|830112|422853054|N/A
GD028|26/12/2020 00:39|CHUYEN_KHOAN|1132067|159072787|508986577
GD029|17/06/2020 07:08|NAP|3434450|273744485|N/A
GD030|06/06/2023 19:16|NAP|204353|699982559|N/A
GD031|02/03/2025 03:16|RUT|4369341|479589491|N/A
GD032|06/01/2021 21:12|NAP|335017|585526790|N/A
GD033|25/03/2024 10:32|RUT|1229024|283364411|N/A
GD034|05/05/2022 13:49|NAP|1469843|508986577|N/A
GD035|04/09/2025 21:17|NAP|4653048|453394190|N/A
GD036|03/01/2021 01:44|NAP|4188276|283364411|N/A
GD037|04/05/2025 13:10|RUT|1794356|685730875|N/A
GD038|11/05/2022 00:32|CHUYEN_KHOAN|1290036|933399355|479589491
GD039|26/09/2021 21:52|NAP|83109|846824087|N/A
GD040|27/09/2021 03:09|CHUYEN_KHOAN|698637|299603733|159072787
GD041|12/08/2021 12:58|RUT|4154647|273744485|N/A
GD042|12/09/2022 00:39|NAP|3053023|422853054|N/A
GD043|25/03/2020 20:24|RUT|780801|797825919|N/A
GD044|26/08/2024 05:38|RUT|4083561|554849735|N/A
GD045|06/06/2020 13:12|NAP|4333207|585526790|N/A
GD046|22/09/2022 06:23|CHUYEN_KHOAN|1640296|299603733|508986577
GD047|28/02/2025 07:05|RUT|632131|986467148|N/A
GD048|12/06/2023 13:33|CHUYEN_KHOAN|1461167|820133906|341042880
GD049|27/12/2020 14:15|NAP|1898387|104197280|N/A
GD050|28/11/2023 06:50|RUT|2783975|933399355|N/A
GD051|26/07/2022 18:01|NAP|3484003|677069247|N/A
GD052|15/01/2023 09:14|NAP|682004|489952073|N/A
GD053|08/05/2025 21:25|CHUYEN_KHOAN|3789743|299603733|685730875
GD054|28/09/2023 08:30|CHUYEN_KHOAN|3489877|554849735|526997230
GD055|16/03/2025 05:37|RUT|1470466|479589491|N/A
GD056|04/08/2024 15:16|NAP|473072|685730875|N/A
GD057|19/11/2022 03:16|CHUYEN_KHOAN|1252992|820133906|159072787
GD058|01/09/2020 05:37|NAP|1743734|933399355|N/A
GD059|17/02/2021 17:12|RUT|138070|159072787|N/A
GD060|11/12/2024 05:29|NAP|1317300|585526790|N/A
GD061|28/11/2025 22:55|CHUYEN_KHOAN|215171|463010441|797825919
GD062|14/05/2023 23:59|CHUYEN_KHOAN|523242|159072787|489952073
GD063|17/08/2021 14:56|NAP|2326461|820133906|N/A
GD064|12/06/2021 07:40|CHUYEN_KHOAN|3403533|846824087|647350923
GD065|18/09/2025 01:13|CHUYEN_KHOAN|258199|376479333|479589491
GD066|24/09/2024 11:49|NAP|3185766|273744485|N/A
GD067|20/07/2020 12:57|CHUYEN_KHOAN|1841978|677069247|986467148
GD068|14/05/2021 18:38|CHUYEN_KHOAN|3806648|526997230|283364411
GD069|11/04/2024 08:37|RUT|1117129|299603733|N/A
GD070|25/09/2022 06:36|NAP|520895|554849735|N/A
GD071|10/08/2023 15:11|CHUYEN_KHOAN|1753534|846824087|797825919
GD072|25/11/2021 02:26|CHUYEN_KHOAN|1487077|526997230|685730875
GD073|01/01/2021 23:51|CHUYEN_KHOAN|3189758|283364411|479589491
GD074|26/03/2023 07:08|CHUYEN_KHOAN|2575534|299603733|371926798
GD075|28/03/2025 19:44|RUT|1229819|554849735|N/A
GD076|03/07/2021 07:26|CHUYEN_KHOAN|98925|699982559|371926798
GD077|15/05/2020 02:45|CHUYEN_KHOAN|1008439|820133906|585526790
GD078|27/02/2022 14:06|CHUYEN_KHOAN|1424419|489952073|699982559
GD079|25/05/2023 11:05|NAP|2202355|422180908|N/A
GD080|25/07/2022 09:14|NAP|519871|463010441|N/A
GD081|13/09/2025 15:46|CHUYEN_KHOAN|3564544|104197280|554849735
GD082|14/04/2022 01:41|RUT|4830781|554849735|N/A
GD083|28/05/2024 11:53|RUT|2814780|585526790|N/A
GD084|07/09/2024 23:10|RUT|3334699|797825919|N/A
GD085|01/09/2025 12:38|RUT|3737603|479589491|N/A
GD086|01/02/2023 03:28|RUT|4078011|341042880|N/A
GD087|17/04/2022 23:57|CHUYEN_KHOAN|3009578|422853054|585526790
GD088|19/10/2023 16:58|CHUYEN_KHOAN|3006237|480034778|299603733
GD089|04/08/2022 21:57|RUT|4417219|422853054|N/A
GD090|20/02/2025 00:38|NAP|2340580|104197280|N/A
GD091|10/09/2023 06:57|CHUYEN_KHOAN|2018758|508986577|159072787
GD092|09/01/2021 21:40|CHUYEN_KHOAN|2980469|422853054|104197280
GD093|04/03/2023 13:04|CHUYEN_KHOAN|2469589|422853054|986467148
GD094|11/09/2025 00:08|CHUYEN_KHOAN|1627549|371926798|422853054
GD095|14/09/2021 23:46|CHUYEN_KHOAN|4844818|828054905|699982559
GD096|08/05/2021 04:38|NAP|4718095|463010441|N/A
GD097|16/06/2023 21:39|RUT|363265|489952073|N/A
GD098|06/04/2023 18:19|CHUYEN_KHOAN|2719628|299603733|480034778
GD099|01/08/2025 06:07|NAP|1107939|104197280|N/A
GD100|12/03/2023 01:11|NAP|482682|647350923|N/A
GD101|30/06/2022 23:59|LAI|13417|NGAN_HANG|376479333
GD102|31/07/2022 23:59|LAI|59467|NGAN_HANG|376479333
GD103|31/08/2022 23:59|LAI|59669|NGAN_HANG|376479333
GD104|30/09/2022 23:59|LAI|57941|NGAN_HANG|376479333
GD105|31/10/2022 23:59|LAI|60069|NGAN_HANG|376479333
GD106|30/11/2022 23:59|LAI|58329|NGAN_HANG|376479333
GD107|31/12/2022 23:59|LAI|60471|NGAN_HANG|376479333
GD108|31/01/2023 23:59|LAI|60677|NGAN_HANG|376479333
GD109|28/02/2023 23:59|LAI|54991|NGAN_HANG|376479333
GD110|31/03/2023 23:59|LAI|61070|NGAN_HANG|376479333
GD111|30/04/2023 23:59|LAI|59300|NGAN_HANG|376479333
GD112|31/05/2023 23:59|LAI|61478|NGAN_HANG|376479333
GD113|30/06/2023 23:59|LAI|59697|NGAN_HANG|376479333
GD114|31/07/2023 23:59|LAI|61890|NGAN_HANG|376479333
GD115|31/08/2023 23:59|LAI|62100|NGAN_HANG|376479333
GD116|30/09/2023 23:59|LAI|60301|NGAN_HANG|376479333
GD117|31/10/2023 23:59|LAI|62516|NGAN_HANG|376479333
GD118|30/11/2023 23:59|LAI|60705|NGAN_HANG|376479333
GD119|31/12/2023 23:59|LAI|62935|NGAN_HANG|376479333
GD120|31/01/2024 23:59|LAI|63303|NGAN_HANG|376479333
GD121|29/02/2024 23:59|LAI|59836|NGAN_HANG|376479333
GD122|31/03/2024 23:59|LAI|64166|NGAN_HANG|376479333
GD123|30/04/2024 23:59|LAI|62307|NGAN_HANG|376479333
GD124|31/05/2024 23:59|LAI|64595|NGAN_HANG|376479333
GD125|30/06/2024 23:59|LAI|62724|NGAN_HANG|376479333
GD126|31/07/2024 23:59|LAI|65028|NGAN_HANG|376479333
GD127|31/08/2024 23:59|LAI|65249|NGAN_HANG|376479333
GD128|30/09/2024 23:59|LAI|63358|NGAN_HANG|376479333
GD129|31/10/2024 23:59|LAI|65686|NGAN_HANG|376479333
GD130|30/11/2024 23:59|LAI|63783|NGAN_HANG|376479333
GD131|31/12/2024 23:59|LAI|66126|NGAN_HANG|376479333
GD132|31/01/2025 23:59|LAI|66350|NGAN_HANG|376479333
GD133|28/02/2025 23:59|LAI|60133|NGAN_HANG|376479333
GD134|31/03/2025 23:59|LAI|66780|NGAN_HANG|376479333
GD135|30/04/2025 23:59|LAI|64845|NGAN_HANG|376479333
GD136|31/05/2025 23:59|LAI|67227|NGAN_HANG|376479333
GD137|30/06/2025 23:59|LAI|65279|NGAN_HANG|376479333
GD138|31/07/2025 23:59|LAI|67677|NGAN_HANG|376479333
GD139|31/08/2025 23:59|LAI|67907|NGAN_HANG|376479333
GD140|30/09/2025 23:59|LAI|65572|NGAN_HANG|376479333
GD141|31/10/2025 23:59|LAI|67483|NGAN_HANG|376479333
GD142|30/11/2025 23:59|LAI|65528|NGAN_HANG|376479333
GD143|31/12/2025 23:59|LAI|67935|NGAN_HANG|376479333
GD144|31/01/2026 23:59|LAI|68166|NGAN_HANG|376479333
GD145|28/02/2026 23:59|LAI|61778|NGAN_HANG|376479333
GD146|31/03/2026 23:59|LAI|68608|NGAN_HANG|376479333
GD147|30/04/2026 23:59|LAI|66620|NGAN_HANG|376479333
GD148|31/05/2026 23:59|LAI|69067|NGAN_HANG|376479333
